Rk,Player,ID,Tm,1718,1819,1920,2021,2122,2223,Signed Using,Guaranteed,Year,Cap,Conversion1718
404,Josh Hart,hartjo01,LAL,1394520,1655160,1934160,3491159,,,1st Round Pick,3049680,2017,9909,1421399
405,Timothe Luwawu-Cabarrot,luwawti01,PHI,1386600,1544951,2529684,,,,1st Round pick,2931551,2016,9414,1377446
406,Kevin Martin,martike02,MIN,1360305,1360305,,,,,,2720610,2016,9414,1351324
407,Brice Johnson,johnsbr02,MEM,1331160,,,,,,,1331160,2016,9414,1322372
408,Pascal Siakam,siakapa01,TOR,1312611,1544951,2351839,,,,1st Round pick,2857562,2016,9414,1303945
409,Dejounte Murray,murrade01,SAS,1312611,1544951,2321735,,,,1st Round pick,2857562,2016,9414,1303945
410,Skal Labissiere,labissk01,SAC,1312611,1544951,2338847,,,,1st Round pick,2857562,2016,9414,1303945
411,A.J. Hammons,hammoaj01,MIA,1312611,1544951,,,,,,2857562,2016,9414,1303945
412,Deyonta Davis,davisde01,MEM,1312611,1544951,,,,,Cap Space,2857562,2016,9414,1303945
413,Chinanu Onuaku,onuakch01,HOU,1312611,1544951,,,,,Minimum Salary,2857562,2016,9414,1303945
414,Damian Jones,jonesda03,GSW,1312611,1544951,2305057,,,,1st Round pick,2857562,2016,9414,1303945
415,Wayne Selden,seldewa01,MEM,1312611,1544951,,,,,,2085087,2017,9909,1337912
416,Cheick Diallo,diallch01,NOP,1312611,1544951,,,,,Minimum Salary,1812611,2016,9414,1303945
417,Joel Bolomboy,bolomjo01,UTA,1312611,,,,,,,1312611,2017,9909,1337912
418,Davis Bertans,bertada01,SAS,1312611,,,,,,Minimum Salary,1312611,2016,9414,1303945
419,Bryn Forbes,forbebr01,SAS,1312611,,,,,,Minimum Salary,1312611,2016,9414,1303945
420,Jake Layman,laymaja01,POR,1312611,1544951,,,,,Cap Space,1312611,2016,9414,1303945
421,Tyler Ulis,ulisty01,PHO,1312611,1544951,1676735,,,,Cap Space,1312611,2016,9414,1303945
422,Marcus Georges-Hunt,georgma01,MIN,1312611,,,,,,Minimum Salary,1312611,2017,9909,1337912
423,Malcolm Brogdon,brogdma01,MIL,1312611,1544951,,,,,Cap Space,1312611,2016,9414,1303945
424,Rodney McGruder,mcgruro01,MIA,1312611,1544951,,,,,Minimum Salary,1312611,2016,9414,1303945
425,Andrew Harrison,harrian01,MEM,1312611,1544951,,,,,Cap Space,1312611,2016,9414,1303945
426,Ivica Zubac,zubaciv01,LAL,1312611,1544951,,,,,Cap Space,1312611,2016,9414,1303945
427,Patrick McCaw,mccawpa01,GSW,1312611,,,,,,Minimum Salary,1312611,2016,9414,1303945
428,Dorian Finney-Smith,finnedo01,DAL,1312611,1544951,,,,,Minimum Salary,1312611,2016,9414,1303945
429,Yogi Ferrell,ferreyo01,DAL,1312611,,,,,,Minimum Salary,1312611,2017,9909,1337912
430,Treveon Graham,grahatr01,CHO,1312611,,,,,,Minimum Salary,1312611,2016,9414,1303945
431,David Nwaba,nwabada01,CHI,1312611,,,,,,Minimum Salary,1312611,2017,9909,1337912
432,Paul Zipser,zipsepa01,CHI,1312611,1544951,1676735,,,,Cap Space,1312611,2016,9414,1303945
433,Isaiah Whitehead,whiteis01,BRK,1312611,1544951,1676735,,,,Cap Space,1312611,2016,9414,1303945
434,Sheldon Mac,mcclesh01,ATL,1312611,,,,,,,1312611,2016,9414,1303945
435,Okaro White,whiteok01,ATL,1312611,,,,,,,1312611,2017,9909,1337912
436,Nicolas Brussino,brussni01,ATL,1312611,,,,,,,1312611,2016,9414,1303945
437,Diamond Stone,stonedi01,ATL,1312611,,,,,,,1312611,2017,9909,1337912
438,Isaiah Taylor,taylois01,ATL,1312611,1544951,,,,,Minimum Salary,1312611,2017,9909,1337912
439,Kay Felder,feldeka01,CHI,1312611,1544951,,,,,,456529,2017,9909,1337912
440,Fred VanVleet,vanvlfr01,TOR,1312611,,,,,,,,2016,9414,1303945
441,Derrick Jones,jonesde02,PHO,1312611,,,,,,,,2017,9909,1337912
442,Chasson Randle,randlch01,NYK,1312611,,,,,,,,2017,9909,1337912
443,Stephen Zimmerman,zimmest01,LAL,1312611,,,,,,,,2017,9909,1337912
444,Semi Ojeleye,ojelese01,BOS,1291892,1378242,1618520,1752950,,,,2193857,2017,9909,1316793
445,Frank Mason,masonfr01,SAC,1184385,1378242,1618520,,,,,2562627,2017,9909,1207214
446,Abdel Nader,naderab01,BOS,1167333,1378242,1618520,1752950,,,,1617333,2017,9909,1189833
447,Damyean Dotson,dotsoda01,NYK,1100000,1378242,1618520,,,,Minimum Salary,2478242,2017,9909,1121202
448,Paul Pierce,piercpa01,LAC,1096080,,,,,,,1096080,2017,9909,1117207
449,Isaiah Canaan,canaais01,PHO,1069308,,,,,,,1069308,2017,9909,1089919
450,Wesley Iwundu,iwundwe01,ORL,1050000,1378242,1618520,,,,,2428242,2017,9909,1070239
451,Livio Jean-Charles,jeancli01,SAS,1035200,,,,,,,1035200,2016,9414,1028365
452,Justin Hamilton,hamilju01,TOR,1000000,1000000,1000000,,,,,3000000,2016,9414,993398
453,Gerald Henderson,hendege02,PHI,1000000,,,,,,,1000000,2017,9909,1019275
454,Rade Zagorac,zagorra01,MEM,950000,1378242,,,,,,2328242,2017,9909,968311
455,Ivan Rabb,rabbiv01,MEM,950000,1378242,1618520,,,,MLE,2328242,2017,9909,968311
456,Ike Anigbogu,anigbik01,IND,950000,1378242,1618520,,,,Cap space,1640000,2017,9909,968311
457,Gerald Green,greenge01,HOU,947248,,,,,,Minimum Salary,947248,2015,7000,1171762
458,Jason Thompson,thompja02,GSW,945126,945126,,,,,,1890252,2016,9414,938886
459,Martell Webster,webstma02,WAS,830000,830000,,,,,,1660000,2017,9909,845998
460,Frank Jackson,jacksfr01,NOP,815615,1378242,1618520,,,,MLE,2699857,2017,9909,831336
461,Jordan Bell,belljo01,GSW,815615,1378252,,,,,Minimum Salary,2193867,2017,9909,831336
462,Dakari Johnson,johnsda04,OKC,815615,1378242,,,,,,2193857,2017,9909,831336
463,Sterling Brown,brownst02,MIL,815615,1378242,1618520,,,,MLE,2193857,2017,9909,831336
464,Dillon Brooks,brookdi01,MEM,815615,1378242,1618520,,,,MLE,2193857,2017,9909,831336
465,Sindarius Thornwell,thornsi01,LAC,815615,1378242,1618520,,,,MLE,2193857,2017,9909,831336
466,Jawun Evans,evansja01,LAC,815615,1378242,1618520,,,,MLE,2193857,2017,9909,831336
467,Dwayne Bacon,bacondw01,CHO,815615,1378242,1618520,,,,MLE,2193857,2017,9909,831336
468,Tyler Dorsey,dorsety01,ATL,815615,1378242,,,,,Minimum Salary,2193857,2017,9909,831336
469,Davon Reed,reedda01,PHO,815615,1378242,1618520,,,,Minimum Salary,1504736,2017,9909,831336
470,Royce O'Neale,onealro01,UTA,815615,1378242,1618520,,,,Cap space,815615,2017,9909,831336
471,Alfonzo McKinnie,mckinal01,TOR,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
472,Brandon Paul,paulbr01,SAS,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
473,Khem Birch,birchkh01,ORL,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
474,Thomas Bryant,bryanth01,LAL,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
475,Zhou Qi,qizh01,HOU,815615,1378242,1618520,1752950,,,MLE,815615,2017,9909,831336
476,Maxi Kleber,klebima01,DAL,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
477,Daniel Theis,theisda01,BOS,815615,1378242,,,,,Minimum Salary,815615,2017,9909,831336
478,Sean Kilpatrick,kilpase01,MIL,789725,,,,,,,789725,2017,9909,804947
479,Trey Burke,burketr01,NYK,784160,1795015,,,,,Minimum Salary,784160,2017,9909,799275
480,Alex Poythress,poythal01,IND,778668,1544951,,,,,Two-Way Converted,778668,2017,9909,793677
481,Marco Belinelli,belinma01,PHI,776217,,,,,,,,2017,9909,791178
482,Joe Johnson,johnsjo02,HOU,749905,,,,,,,,2017,9909,764359
483,Dwight Buycks,buyckdw01,DET,748160,1600520,,,,,Two-Way Converted,748160,2017,9909,762581
484,Tyler Cavanaugh,cavanty01,ATL,679919,1378242,,,,,Two-Way Converted,729919,2017,9909,693024
485,Carlos Delfino,delfica01,LAC,650000,650000,,,,,,1300000,2017,9909,662529
486,Caron Butler,butleca01,SAC,517220,517220,,,,,,1034440,2015,7000,639810
487,Jordan Farmar,farmajo01,LAC,510921,,,,,,,510921,2016,9414,507548
488,Ersan Ilyasova,ilyaser01,PHI,502328,,,,,,,,2017,9909,512010
489,Leandro Barbosa,barbole01,PHO,500000,,,,,,,500000,2015,7000,618508
490,Tibor Pleiss,pleisti01,PHI,500000,,,,,,,500000,2015,7000,618508
491,Michael Gbinije,gbinimi01,DET,500000,,,,,,,500000,2017,9909,509637
492,Aaron Gray,grayaa01,DET,452059,,,,,,,452059,2014,6306,574766
493,Festus Ezeli,ezelife01,POR,333334,333333,333333,,,,,1000000,2016,9414,331133
494,C.J. Watson,watsocj01,ORL,333334,333333,333333,,,,,1000000,2015,7000,412339
495,Gal Mekel,mekelga01,DAL,315760,,,,,,,315760,2014,6306,401470
496,Miroslav Raduljica,radulmi01,LAC,300000,300000,,,,,,600000,2015,7000,371105
497,Cameron Oliver,oliveca01,HOU,300000,,,,,,,300000,2017,9909,305782
498,Ramon Sessions,sessira01,WAS,263124,,,,,,,,2017,9909,268195
499,Jordan Crawford,crawfjo02,NOP,250000,,,,,,,250000,2017,9909,254818
500,Emeka Okafor,okafoem01,NOP,239204,,,,,,,239204,2017,9909,243814
501,Brandon Jennings,jennibr01,MIL,238020,,,,,,,,2017,9909,242607
502,Wade Baldwin,baldwwa01,POR,222476,,,,,,,,2017,9909,226764
503,Isaiah Canaan,canaais01,CHI,200000,,,,,,,200000,2017,9909,203855
504,Rakeem Christmas,chrisra01,IND,172552,,,,,,,172552,2015,7000,213449
505,DeAndre Liggins,liggide01,NOP,172238,,,,,,,172238,2017,9909,175557
506,Sean Kilpatrick,kilpase01,LAC,172238,,,,,,,,2017,9909,175557
507,Rashad Vaughn,vaughra01,ORL,166258,,,,,,,,2017,9909,169462
508,David Stockton,stockda01,UTA,148318,,,,,,,,2017,9909,151176
509,Troy Williams,willitr02,NYK,148318,,,,,,,,2017,9909,151176
510,Larry Drew,drewla02,NOP,148318,,,,,,,,2014,6306,188577
511,Travis Wear,weartr01,LAL,148318,,,,,,,,2017,9909,151176
512,Carrick Felix,felixca01,WAS,140902,,,,,,,140902,2017,9909,143617
513,Brandon Rush,rushbr01,POR,119602,,,,,,,,2017,9909,121907
514,Jeremy Evans,evansje01,ATL,104059,,,,,,,50000,2017,9909,106064
515,Derrick Williams,willide02,LAL,104059,,,,,,,,2017,9909,106064
516,K.J. McDaniels,mcdankj01,TOR,100000,,,,,,,100000,2017,9909,101927
517,Marshall Plumlee,plumlma02,NYK,100000,,,,,,,100000,2017,9909,101927
518,Georges Niang,niangge01,IND,100000,,,,,,,100000,2017,9909,101927
519,Quinn Cook,cookqu01,ATL,100000,,,,,,,100000,2017,9909,101927
520,Demetrius Jackson,jacksde01,BOS,92858,92857,92857,92857,92857,,,650000,2017,9909,94647
521,Kyle Collinsworth,colliky01,DAL,92160,,,,,,,142160,2017,9909,93936
522,Josh Gray,grayjo01,PHO,92160,,,,,,,92160,2017,9909,93936
523,Naz Mitrou-Long,mitrona01,UTA,92160,,,,,,,50000,2017,9909,93936
524,Nigel Hayes,hayesni01,TOR,92160,,,,,,,,2017,9909,93936
525,Shaquille Harrison,harrish01,PHO,92160,,,,,,,,2017,9909,93936
526,Rodney Purvis,purviro01,ORL,92160,,,,,,,,2017,9909,93936
527,Walt Lemon Jr.,lemonwa01,NOP,92160,,,,,,,,2017,9909,93936
528,Antonius Cleveland,clevean01,ATL,92160,,,,,,,,2017,9909,93936
529,Damion Lee,leeda03,ATL,92160,,,,,,,,2017,9909,93936
530,Jaylen Morris,morrija01,ATL,92160,,,,,,,,2017,9909,93936
531,Mike James,jamesmi02,PHO,87552,,,,,,,87552,2017,9909,89239
532,MarShon Brooks,brookma01,MEM,86119,,,,,,,,2017,9909,87778
533,Jarell Eddie,eddieja01,BOS,83129,,,,,,,83129,2017,9909,84731
534,Jarell Eddie,eddieja01,CHI,83129,,,,,,,17224,2017,9909,84731
535,Briante Weber,weberbr01,MEM,83129,,,,,,,,2017,9909,84731
536,Marquis Teague,teaguma01,MEM,83129,,,,,,,,2017,9909,84731
537,Aaron Harrison,harriaa01,DAL,83129,,,,,,,,2017,9909,84731
538,Demetrius Jackson,jacksde01,HOU,74159,,,,,,,124159,2017,9909,75588
539,Georgios Papagiannis,papagge01,POR,74159,,,,,,,,2017,9909,75588
540,Scotty Hopson,hopsosc01,DAL,74159,,,,,,,,2017,9909,75588
541,Okaro White,whiteok01,CLE,74159,,,,,,,,2017,9909,75588
542,Xavier Silas,silasxa01,BOS,74159,,,,,,,,2017,9909,75588
543,Isaiah Canaan,canaais01,HOU,53465,,,,,,,53465,2017,9909,54495
544,Tyler Cavanaugh,cavanty01,ATL,50000,,,,,,,729919,2017,9909,50963
545,Kyle Collinsworth,colliky01,DAL,50000,,,,,,,142160,2017,9909,50963
546,Demetrius Jackson,jacksde01,HOU,50000,,,,,,,124159,2017,9909,50963
547,Daniel Ochefu,ochefda01,WAS,50000,,,,,,,50000,2017,9909,50963
548,Michael Young,youngmi02,WAS,50000,,,,,,,50000,2017,9909,50963
549,Eric Griffin,griffer01,UTA,50000,,,,,,,50000,2017,9909,50963
550,Nate Wolters,woltena01,UTA,50000,,,,,,,50000,2017,9909,50963
551,Naz Mitrou-Long,mitrona01,UTA,50000,,,,,,,50000,2017,9909,50963
552,James Michael McAdoo,mcadoja01,PHI,50000,,,,,,,50000,2017,9909,50963
553,Jacob Pullen,pulleja01,PHI,50000,,,,,,,50000,2017,9909,50963
554,Nigel Hayes,hayesni01,NYK,50000,,,,,,,50000,2017,9909,50963
555,Jalen Moore,mooreja02,MIL,50000,,,,,,,50000,2017,9909,50963
556,Gary Payton,paytoga02,MIL,50000,,,,,,,50000,2017,9909,50963
557,Matt Williams,willima05,MIA,50000,,,,,,,50000,2017,9909,50963
558,Vince Hunter,huntevi01,MEM,50000,,,,,,,50000,2017,9909,50963
559,Briante Weber,weberbr01,LAL,50000,,,,,,,50000,2017,9909,50963
560,Vander Blue,blueva01,LAL,50000,,,,,,,50000,2017,9909,50963
561,V.J. Beachem,beachvj01,LAL,50000,,,,,,,50000,2017,9909,50963
562,Jamil Wilson,wilsoja02,LAC,50000,,,,,,,50000,2017,9909,50963
563,Briante Weber,weberbr01,HOU,50000,,,,,,,50000,2017,9909,50963
564,Luis Montero,montelu01,DET,50000,,,,,,,50000,2017,9909,50963
565,Antonius Cleveland,clevean01,DAL,50000,,,,,,,50000,2017,9909,50963
566,Gian Clavell,clavegi01,DAL,50000,,,,,,,50000,2017,9909,50963
567,Diamond Stone,stonedi01,CHI,50000,,,,,,,50000,2017,9909,50963
568,Yakuba Ouattara,ouattya01,BRK,50000,,,,,,,50000,2017,9909,50963
569,Jeremy Evans,evansje01,ATL,50000,,,,,,,50000,2017,9909,50963
570,Nigel Hayes,hayesni01,LAL,46080,,,,,,,46080,2017,9909,46968
571,Xavier Rathan-Mayes,rathaxa01,MEM,46080,,,,,,,,2017,9909,46968
572,Trey McKinney-Jones,mckintr01,IND,46080,,,,,,,,2017,9909,46968
573,Le'Bryan Nash,nashle01,HOU,46080,,,,,,,,2017,9909,46968
574,Jameel Warney,warneja01,DAL,46080,,,,,,,,2017,9909,46968
575,Marcus Thornton,thornma02,CLE,46080,,,,,,,,2015,7000,57001
576,DeAndre Liggins,liggide01,ATL,26773,,,,,,,26773,2017,9909,27289
577,Axel Toupane,toupaax01,NOP,25000,,,,,,,25000,2017,9909,25481
578,Quinn Cook,cookqu01,NOP,25000,,,,,,,25000,2017,9909,25481
579,Chris Johnson,johnsch04,HOU,25000,,,,,,,25000,2013,5867,31633
580,Beno Udrih,udrihbe01,DET,25000,,,,,,,25000,2016,9414,24834
581,Joel Bolomboy,bolomjo01,MIL,22248,,,,,,,22248,2017,9909,22676
582,Jarell Eddie,eddieja01,CHI,17224,,,,,,,17224,2017,9909,17555
