Rk,Player,ID,Tm,1718,1819,1920,2021,2122,2223,Signed Using,Guaranteed,Year,Cap,Conversion1718
207,Jaylen Brown,brownja02,BOS,4956480,5169960,6534829,,,,1st Rd pick,10126440,2016,9414,4923758
208,Jameer Nelson,nelsoja01,DEN,4736050,,,,,,,4736050,2017,9909,4827339
209,Kyle Singler,singlky01,OKC,4666500,4996000,5333500,,,,Bird Rights,9662500,2015,7000,5772541
210,Justin Holiday,holidju01,CHI,4615385,4384616,,,,,MLE,9000001,2017,9909,4704348
211,De'Aaron Fox,foxde01,SAC,4609200,5407920,6392760,8099627,,,1st Round Pick,10017120,2017,9909,4698044
212,Marcus Smart,smartma01,BOS,4538020,,,,,,1st Round Pick,4538020,2014,6306,5769823
213,Kristaps Porzingis,porzikr01,NYK,4503600,5697054,,,,,1st round pick,10200654,2015,7000,5571031
214,Dragan Bender,bendedr01,PHO,4468800,4661280,5896519,,,,1st Round pick,9130080,2016,9414,4439298
215,Devin Harris,harride01,DEN,4402546,,,,,,Cap Space,4402546,2014,6306,5597576
216,Ron Baker,bakerro01,NYK,4328000,4544400,,,,,Room Exception,4328000,2017,9909,4411423
217,Jamal Crawford,crawfja01,MIN,4328000,4544400,,,,,Room Exception,4328000,2017,9909,4411423
218,Aron Baynes,baynear01,BOS,4328000,,,,,,Room Exception,4328000,2017,9909,4411423
219,Alex Len,lenal01,PHO,4187599,,,,,,1st Round Pick,4187599,2017,9909,4268316
220,Nerlens Noel,noelne01,DAL,4187599,,,,,,1st Round Pick,4187599,2017,9909,4268316
221,Jonathan Isaac,isaacjo01,ORL,4186320,4969080,5806440,7362566,,,1st Round Pick,9155400,2017,9909,4267013
222,Lance Stephenson,stephla01,IND,4180000,4360000,,,,,Cap space,4180000,2017,9909,4260571
223,Julius Randle,randlju01,LAL,4149242,,,,,,1st Round Pick,4149242,2014,6306,5275515
224,Kyle O'Quinn,oquinky01,NYK,4087500,4256250,,,,,Bird Rights,4087500,2015,7000,5056308
